week_ending,peak_heart_rate,is_imputed
2017-07-09,107.0,False
2017-07-16,127.0,False
2017-07-23,156.0,False
2017-07-30,149.0,False
2017-08-06,155.0,False
2017-08-13,141.0,False
2017-08-20,122.0,False
2017-08-27,129.0,False
2017-09-03,143.0,False
2017-09-10,145.0,False
2017-09-17,187.0,False
2017-09-24,138.0,False
2017-10-01,129.0,False
2017-10-08,170.0,False
2017-10-15,159.0,False
2017-10-22,108.0,False
2017-10-29,155.0,False
2017-11-05,132.0,False
2017-11-12,120.0,False
2017-11-19,138.0,False
2017-11-26,164.0,False
2017-12-03,145.0,False
2017-12-10,115.0,False
2017-12-17,158.0,False
2017-12-24,162.0,False
2017-12-31,183.0,False
2018-01-07,139.0,False
2018-01-14,143.0,False
2018-01-21,154.0,False
2018-01-28,142.0,False
2018-02-04,164.0,False
2018-02-11,151.0,False
2018-02-18,164.0,False
2018-02-25,136.0,False
2018-03-04,166.0,False
2018-03-11,146.0,False
2018-03-18,185.0,False
2018-03-25,127.0,False
2018-04-01,144.0,False
2018-04-08,152.0,False
2018-04-15,129.0,False
2018-04-22,143.0,False
2018-04-29,127.0,False
2018-05-06,161.0,False
2018-05-13,153.0,False
2018-05-20,156.0,False
2018-05-27,164.0,False
2018-06-03,122.0,False
2018-06-10,129.0,False
2018-06-17,163.0,False
2018-06-24,133.0,False
2018-07-01,104.0,False
2018-07-08,149.0,False
2018-07-15,142.0,False
2018-07-22,140.0,False
2018-07-29,141.0,False
2018-08-05,145.0,False
2018-08-12,125.0,False
2018-08-19,137.0,False
2018-08-26,131.0,False
2018-09-02,132.0,False
2018-09-09,129.0,False
2018-09-16,133.0,False
2018-09-23,113.0,False
2018-09-30,127.0,False
2018-10-07,110.0,False
2018-10-14,111.81818181818181,True
2018-10-21,113.63636363636364,True
2018-10-28,115.45454545454545,True
2018-11-04,117.27272727272727,True
2018-11-11,119.0909090909091,True
2018-11-18,120.9090909090909,True
2018-11-25,122.72727272727272,True
2018-12-02,124.54545454545455,True
2018-12-09,126.36363636363636,True
2018-12-16,128.1818181818182,True
2018-12-23,130.0,False
2018-12-30,113.0,False
2019-01-06,144.0,False
2019-01-13,110.0,False
2019-01-20,123.0,False
2019-01-27,135.0,False
2019-02-03,127.0,False
2019-02-10,157.0,False
2019-02-17,129.0,False
2019-02-24,135.0,False
2019-03-03,135.0,False
2019-03-10,194.0,False
2019-03-17,114.0,False
2019-03-24,189.0,False
2019-03-31,141.0,False
2019-04-07,155.0,False
2019-04-14,153.0,False
2019-04-21,172.0,False
2019-04-28,176.0,False
2019-05-05,176.0,True
2019-05-12,176.0,True
2019-05-19,196.0,False
2019-05-26,149.0,False
2019-06-02,143.0,False
2019-06-09,143.0,True
2019-06-16,162.0,False
2019-06-23,189.0,False
2019-06-30,171.0,False
2019-07-07,150.0,False
2019-07-14,154.0,False
2019-07-21,149.0,False
2019-07-28,99.0,False
